link,title,snippet,date,source
https://www.americanbankingnews.com/2024/03/02/apple-inc-nasdaqaapl-is-alapocas-investment-partners-inc-s-largest-position.html,"Apple Inc. (NASDAQ:AAPL) is Alapocas Investment Partners Inc.'s Largest 
Position","Read Apple Inc. (NASDAQ:AAPL) is Alapocas Investment Partners Inc.'s 
Largest Position at American Banking and Market News.",14 hours ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/03/02/sonata-capital-group-inc-raises-stake-in-apple-inc-nasdaqaapl.html,Sonata Capital Group Inc. Raises Stake in Apple Inc. (NASDAQ:AAPL),"Read Sonata Capital Group Inc. Raises Stake in Apple Inc. (NASDAQ:AAPL) at 
American Banking and Market News.",14 hours ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/03/02/ami-investment-management-inc-cuts-stock-position-in-apple-inc-nasdaqaapl.html,"AMI Investment Management Inc. Cuts Stock Position in Apple Inc. 
(NASDAQ:AAPL)","Read AMI Investment Management Inc. Cuts Stock Position in Apple Inc. 
(NASDAQ:AAPL) at American Banking and Market News.",14 hours ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/03/02/apple-inc-nasdaqaapl-stake-lifted-by-greytown-advisors-inc.html,Apple Inc. (NASDAQ:AAPL) Stake Lifted by Greytown Advisors Inc.,"Read Apple Inc. (NASDAQ:AAPL) Stake Lifted by Greytown Advisors Inc. at 
American Banking and Market News.",15 hours ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/02/28/apple-inc-nasdaqaapl-is-westbourne-investment-advisors-inc-s-largest-position.html,"Apple Inc. (NASDAQ:AAPL) is Westbourne Investment Advisors Inc.'s Largest 
Position","Read Apple Inc. (NASDAQ:AAPL) is Westbourne Investment Advisors Inc.'s 
Largest Position at American Banking and Market News.",3 days ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/03/01/cairn-investment-group-inc-acquires-63-shares-of-apple-inc-nasdaqaapl.html,Cairn Investment Group Inc. Acquires 63 Shares of Apple Inc. (NASDAQ:AAPL),"Read Cairn Investment Group Inc. Acquires 63 Shares of Apple Inc. 
(NASDAQ:AAPL) at American Banking and Market News.",1 day ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/03/01/apple-inc-nasdaqaapl-shares-sold-by-forefront-wealth-management-inc.html,Apple Inc. (NASDAQ:AAPL) Shares Sold by Forefront Wealth Management Inc.,"Read Apple Inc. (NASDAQ:AAPL) Shares Sold by Forefront Wealth Management 
Inc. at American Banking and Market News.",1 day ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/03/02/apple-inc-nasdaqaapl-is-mu-investments-co-ltd-s-4th-largest-position.html,Apple Inc. (NASDAQ:AAPL) is MU Investments Co. Ltd.'s 4th Largest Position,"Read Apple Inc. (NASDAQ:AAPL) is MU Investments Co. Ltd.'s 4th Largest 
Position at American Banking and Market News.",12 hours ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/02/29/apple-inc-nasdaqaapl-shares-sold-by-widmann-financial-services-inc.html,Apple Inc. (NASDAQ:AAPL) Shares Sold by Widmann Financial Services Inc.,"Read Apple Inc. (NASDAQ:AAPL) Shares Sold by Widmann Financial Services 
Inc. at American Banking and Market News.",2 days ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/02/29/apple-inc-nasdaqaapl-holdings-raised-by-ifrah-financial-services-inc.html,Apple Inc. (NASDAQ:AAPL) Holdings Raised by Ifrah Financial Services Inc.,"Read Apple Inc. (NASDAQ:AAPL) Holdings Raised by Ifrah Financial Services 
Inc. at American Banking and Market News.",2 days ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/03/01/apple-inc-nasdaqaapl-holdings-boosted-by-flputnam-investment-management-co.html,"Apple Inc. (NASDAQ:AAPL) Holdings Boosted by Flputnam Investment Management 
Co.","Read Apple Inc. (NASDAQ:AAPL) Holdings Boosted by Flputnam Investment 
Management Co. at American Banking and Market News.",1 day ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/02/29/hudock-inc-buys-545-shares-of-apple-inc-nasdaqaapl.html,Hudock Inc. Buys 545 Shares of Apple Inc. (NASDAQ:AAPL),"Hudock Inc. raised its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free 
Report) by 1.6% during the 3rd quarter, according to the company...",2 days ago,AmericanBankingNEWS
